slug,date,open,high,low,close,currency
USD/CNY,2011/1/3,6.58,6.58,6.58,6.5916,CNY
USD/CNY,2011/1/4,6.5988,6.6,6.597,6.58,CNY
USD/CNY,2011/1/5,6.6112,6.6112,6.5775,6.597,CNY
USD/CNY,2011/1/6,6.6134,6.6165,6.6134,6.5775,CNY
USD/CNY,2011/1/7,6.6209,6.6209,6.6175,6.6165,CNY
USD/CNY,2011/1/10,6.623,6.626,6.623,6.6175,CNY
USD/CNY,2011/1/11,6.613,6.613,6.61,6.626,CNY
USD/CNY,2011/1/12,6.61,6.61,6.5942,6.61,CNY
USD/CNY,2011/1/13,6.5915,6.6024,6.5915,6.5942,CNY
USD/CNY,2011/1/14,6.5914,6.5944,6.5792,6.5957,CNY
USD/CNY,2011/1/17,6.5817,6.5856,6.5817,6.5792,CNY
USD/CNY,2011/1/18,6.5746,6.5746,6.5746,6.5833,CNY
USD/CNY,2011/1/19,6.5727,6.5727,6.5727,6.5746,CNY
USD/CNY,2011/1/20,6.5766,6.5766,6.5766,6.5727,CNY
USD/CNY,2011/1/21,6.5759,6.5759,6.5725,6.5766,CNY
USD/CNY,2011/1/24,6.5724,6.5724,6.5724,6.5736,CNY
USD/CNY,2011/1/25,6.5719,6.5726,6.5719,6.5724,CNY
USD/CNY,2011/1/26,6.573,6.5734,6.572,6.5726,CNY
USD/CNY,2011/1/27,6.5719,6.5719,6.5719,6.572,CNY
USD/CNY,2011/1/28,6.5765,6.5765,6.5725,6.5719,CNY
USD/CNY,2011/1/31,6.5798,6.5948,6.5798,6.5725,CNY
USD/CNY,2011/2/1,6.5813,6.5848,6.5813,6.5948,CNY
USD/CNY,2011/2/2,6.5485,6.5485,6.5485,6.5848,CNY
USD/CNY,2011/2/3,6.5485,6.5485,6.5485,6.5485,CNY
USD/CNY,2011/2/4,6.5485,6.5485,6.5485,6.5485,CNY
USD/CNY,2011/2/7,6.5485,6.5526,6.5485,6.5485,CNY
USD/CNY,2011/2/8,6.5445,6.5445,6.5415,6.5526,CNY
USD/CNY,2011/2/9,6.574,6.5802,6.574,6.5445,CNY
USD/CNY,2011/2/10,6.5777,6.5777,6.5745,6.5802,CNY
USD/CNY,2011/2/11,6.5828,6.5828,6.5798,6.5745,CNY
USD/CNY,2011/2/14,6.5853,6.5853,6.5853,6.5798,CNY
USD/CNY,2011/2/15,6.5814,6.5814,6.5814,6.5853,CNY
USD/CNY,2011/2/16,6.5755,6.5786,6.5755,6.5814,CNY
USD/CNY,2011/2/17,6.5771,6.5771,6.57,6.5786,CNY
USD/CNY,2011/2/18,6.5655,6.5655,6.5655,6.5737,CNY
USD/CNY,2011/2/21,6.5568,6.5599,6.5568,6.5655,CNY
USD/CNY,2011/2/22,6.5694,6.5724,6.569,6.5599,CNY
USD/CNY,2011/2/23,6.569,6.569,6.566,6.569,CNY
USD/CNY,2011/2/24,6.5674,6.5707,6.5645,6.566,CNY
USD/CNY,2011/2/25,6.5661,6.5661,6.563,6.5645,CNY
USD/CNY,2011/2/28,6.5639,6.5639,6.5595,6.563,CNY
USD/CNY,2011/3/1,6.561,6.561,6.561,6.5595,CNY
USD/CNY,2011/3/2,6.5627,6.5627,6.5627,6.561,CNY
USD/CNY,2011/3/3,6.5596,6.5627,6.5596,6.5627,CNY
USD/CNY,2011/3/4,6.559,6.559,6.559,6.5624,CNY
USD/CNY,2011/3/7,6.5535,6.5566,6.5465,6.559,CNY
USD/CNY,2011/3/8,6.5465,6.5573,6.5465,6.5465,CNY
USD/CNY,2011/3/9,6.5596,6.5596,6.5505,6.5573,CNY
USD/CNY,2011/3/10,6.5633,6.5633,6.5633,6.5505,CNY
